short_term,long_term,price_range,amp_window,increase_holding,decrease_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,CV r2
10.0,35.0,7.0,25.0,250.0,4000.0,5.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-0.15453268455557967
6.0,35.0,7.0,25.0,250.0,4000.0,5.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-0.17461625509504955
10.0,35.0,7.0,25.0,250.0,250.0,15.0,0.5,0.04,,-2.153184730164206,-1.1435560299948615,,,,,,,,-2.7438737140218303
2.0,50.0,3.0,150.0,4000.0,4000.0,15.0,0.5,0.04,,-8.724168227015902,-8.152910298764828,,,,,,,,-6.590322112167075
6.0,15.0,10.0,25.0,250.0,4000.0,15.0,0.5,0.04,,-0.18988502567453416,-1.3695616601764788,,,,,,,,-1.7142249226884645
10.0,50.0,7.0,150.0,4000.0,250.0,15.0,0.5,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-4.382415686500957
2.0,35.0,10.0,150.0,250.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,50.0,10.0,25.0,250.0,4000.0,15.0,0.5,0.04,,-1.107405208516111,-0.9180008088425781,,,,,,,,-2.2571052194530297
6.0,50.0,10.0,25.0,4000.0,4000.0,15.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,35.0,10.0,25.0,250.0,250.0,5.0,3.0,0.04,,-0.33928431024580946,-0.4309463592374457,,,,,,,,-0.311211356101523
2.0,35.0,10.0,25.0,250.0,250.0,15.0,3.0,0.04,,-0.45271828385536106,-0.5108128856529626,,,,,,,,-0.29170142284785416
10.0,15.0,10.0,150.0,4000.0,250.0,15.0,3.0,0.04,,-1.0505688276899163,-6.13651864106909,,,,,,,,-4.572616823024971
6.0,15.0,7.0,150.0,4000.0,250.0,15.0,3.0,0.005,,-3.75735002468059,-2.6267246155767143,,,,,,,,-2.908234751388726
10.0,15.0,7.0,25.0,4000.0,4000.0,15.0,3.0,0.005,,-0.3708983628181377,-0.5883712672304664,,,,,,,,-1.6534654416964158
6.0,15.0,3.0,150.0,4000.0,4000.0,5.0,3.0,0.005,,0.0,0.0,,,,,,,,0.0
6.0,35.0,3.0,150.0,250.0,4000.0,5.0,0.5,0.04,,0.0,0.0,,,,,,,,0.0
