short_term,long_term,price_range,amp_window,change_holding,amp_lo_threshold,amp_hi_threshold,mse_threshold_1,slope_threshold_1,mse_threshold_2,slope_threshold_2,price_change_threshold,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,score_250,score_500
4.0,30.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,27.66932949961265,,,,,,,,,28.714817322642144,10.468249706228324
4.0,15.0,7.0,100.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,27.873768465395425,,,,,,,,,28.02391136382536,13.632204515455873
4.0,15.0,7.0,150.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,21.552816482111616,,,,,,,,,18.671559682427866,12.556975343071304
4.0,15.0,7.0,200.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,18.541073121873335,,,,,,,,,15.706324367969536,7.064499324683423
4.0,15.0,7.0,75.0,250.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,22.222989631851352,,,,,,,,,21.052031874455146,13.638262222281668
4.0,15.0,7.0,75.0,1000.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,28.10046233708211,,,,,,,,,25.792883459084834,3.7294206687545994
4.0,15.0,7.0,75.0,2000.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,18.680747154965665,,,,,,,,,14.976011935431952,-8.423615156265111
4.0,15.0,7.0,75.0,4000.0,7.5,1.0,0.35,0.05,0.04,2.0,0.01,,12.800198723847686,,,,,,,,,7.560045423951806,-18.62721088631874
4.0,15.0,7.0,75.0,500.0,10.0,1.0,0.35,0.05,0.04,2.0,0.01,,28.105196217696413,,,,,,,,,26.440994584357266,9.816869900267164
4.0,15.0,7.0,75.0,500.0,12.5,1.0,0.35,0.05,0.04,2.0,0.01,,25.639329127536804,,,,,,,,,23.591237506939375,9.334649268240346
4.0,15.0,7.0,75.0,500.0,15.0,1.0,0.35,0.05,0.04,2.0,0.01,,24.998117170630717,,,,,,,,,23.412385610377775,8.133566650777771
4.0,15.0,7.0,75.0,500.0,7.5,0.5,0.35,0.05,0.04,2.0,0.01,,30.22887031064626,,,,,,,,,28.624146717042716,13.047947120870814
4.0,15.0,7.0,75.0,500.0,7.5,1.5,0.35,0.05,0.04,2.0,0.01,,30.080680135836626,,,,,,,,,29.026114389946013,12.247270597319094
4.0,15.0,7.0,75.0,500.0,7.5,2.0,0.35,0.05,0.04,2.0,0.01,,28.698377559010886,,,,,,,,,28.88074253487099,11.884635690194129
4.0,15.0,7.0,75.0,500.0,7.5,2.5,0.35,0.05,0.04,2.0,0.01,,25.726004676723214,,,,,,,,,26.71781064494664,9.061420353472826
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.005,,14.413809674307524,,,,,,,,,10.445902474270195,13.436296131893043
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.025,,8.489376600189027,,,,,,,,,-2.28563297638323,30.609869316444794
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.05,,8.813077941153745,,,,,,,,,6.28307317831549,14.06763059446454
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.04,2.0,0.1,,4.290282700435759,,,,,,,,,1.663777731761943,9.84291073937107
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.005,2.0,0.01,,23.552480765861336,,,,,,,,,21.19847691298257,12.967087542591937
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.01,2.0,0.01,,24.06355560535502,,,,,,,,,21.47591183729603,14.284851676449016
4.0,15.0,7.0,75.0,500.0,7.5,1.0,0.35,0.05,0.02,2.0,0.01,,24.152642473497508,,,,,,,,,21.914598403590695,13.634115359033029
